meeting_date,decision_time_local,timezone,upper_before,upper_after,change_bps,decision,source
2022-01-26,14:00,America/New_York,0.25,0.25,0,hold,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220126a.htm
2022-03-16,14:00,America/New_York,0.25,0.50,25,hike,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220316a.htm
2022-05-04,14:00,America/New_York,0.50,1.00,50,hike,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220504a.htm
2022-06-15,14:00,America/New_York,1.00,1.75,75,hike,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220615a.htm
2022-07-27,14:00,America/New_York,1.75,2.50,75,hike,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220727a.htm
2022-09-21,14:00,America/New_York,2.50,3.25,75,hike,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220921a.htm
2022-11-02,14:00,America/New_York,3.25,4.00,75,hike,https://www.federalreserve.gov/newsevents/pressreleases/monetary20221102a.htm
2022-12-14,14:00,America/New_York,4.00,4.50,50,hike,https://www.federalreserve.gov/newsevents/pressreleases/monetary20221214a.htm
2023-02-01,14:00,America/New_York,4.50,4.75,25,hike,https://www.federalreserve.gov/newsevents/pressreleases/monetary20230201a.htm
2023-03-22,14:00,America/New_York,4.75,5.00,25,hike,https://www.federalreserve.gov/newsevents/pressreleases/monetary20230322a.htm
2023-05-03,14:00,America/New_York,5.00,5.25,25,hike,https://www.federalreserve.gov/newsevents/pressreleases/monetary20230503a.htm
2023-06-14,14:00,America/New_York,5.25,5.25,0,hold,https://www.federalreserve.gov/newsevents/pressreleases/monetary20230614a.htm
2023-07-26,14:00,America/New_York,5.25,5.50,25,hike,https://www.federalreserve.gov/newsevents/pressreleases/monetary20230726a.htm
2023-09-20,14:00,America/New_York,5.50,5.50,0,hold,https://www.federalreserve.gov/newsevents/pressreleases/monetary20230920a.htm
2023-11-01,14:00,America/New_York,5.50,5.50,0,hold,https://www.federalreserve.gov/newsevents/pressreleases/monetary20231101a.htm
2023-12-13,14:00,America/New_York,5.50,5.50,0,hold,https://www.federalreserve.gov/newsevents/pressreleases/monetary20231213a.htm
2024-01-31,14:00,America/New_York,5.50,5.50,0,hold,https://www.federalreserve.gov/newsevents/pressreleases/monetary20240131a.htm
2024-03-20,14:00,America/New_York,5.50,5.50,0,hold,https://www.federalreserve.gov/newsevents/pressreleases/monetary20240320a.htm
2024-05-01,14:00,America/New_York,5.50,5.50,0,hold,https://www.federalreserve.gov/newsevents/pressreleases/monetary20240501a.htm
2024-06-12,14:00,America/New_York,5.50,5.50,0,hold,https://www.federalreserve.gov/newsevents/pressreleases/monetary20240612a.htm
2024-07-31,14:00,America/New_York,5.50,5.50,0,hold,https://www.federalreserve.gov/newsevents/pressreleases/monetary20240731a.htm
2024-09-18,14:00,America/New_York,5.50,5.00,-50,cut,https://www.federalreserve.gov/newsevents/pressreleases/monetary20240918a.htm
2024-11-07,14:00,America/New_York,5.00,4.75,-25,cut,https://www.federalreserve.gov/newsevents/pressreleases/monetary20241107a.htm
2024-12-18,14:00,America/New_York,4.75,4.50,-25,cut,https://www.federalreserve.gov/newsevents/pressreleases/monetary20241218a.htm
